PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10001,1/7/2005,246,-5.13%,0.0612,0.0004,4.52%,4.53%,0.15%,-5.03%
10001,1/14/2005,247,4.64%,0.0613,0.0005,4.52%,4.53%,0.15%,4.60%
10001,1/21/2005,248,-0.53%,0.0616,0.0005,4.51%,4.52%,0.15%,-0.48%
10001,1/28/2005,249,-4.46%,0.061,0.0003,4.51%,4.52%,0.15%,-4.52%
10002,1/7/2005,246,-15.08%,0.3561,0.0043,5.16%,5.26%,3.72%,-14.23%
10002,1/14/2005,247,-5.31%,0.3559,0.004,5.16%,5.26%,3.70%,-5.35%
10002,1/21/2005,248,0.71%,0.3554,0.0041,5.15%,5.25%,3.70%,1.15%
10002,1/28/2005,249,0.35%,0.3554,0.0041,5.14%,5.24%,3.70%,0.22%
10012,1/7/2005,246,-19.42%,1.8571,0.0013,13.42%,14.42%,13.46%,-14.61%
10012,1/14/2005,247,-9.76%,1.8569,0.0009,13.40%,14.41%,13.44%,-9.80%
10012,1/21/2005,248,-6.54%,1.8596,0.0008,13.38%,14.38%,13.47%,-4.10%
10012,1/28/2005,249,5.71%,1.8604,0.001,13.36%,14.36%,13.48%,5.22%
10025,1/7/2005,246,-3.05%,0.4087,0.0006,8.67%,8.75%,1.77%,-2.02%
10025,1/14/2005,247,26.22%,0.4092,0.0017,8.81%,8.89%,1.71%,26.18%
10025,1/21/2005,248,3.88%,0.4065,0.0019,8.80%,8.87%,1.69%,4.39%
10025,1/28/2005,249,1.71%,0.4067,0.0019,8.78%,8.86%,1.69%,1.57%
10026,1/7/2005,246,-4.83%,0.5377,0.0052,5.15%,5.37%,8.14%,-3.47%
10026,1/14/2005,247,-4.54%,0.5376,0.005,5.15%,5.37%,8.11%,-4.58%
10026,1/21/2005,248,5.84%,0.5337,0.0053,5.15%,5.37%,7.96%,6.52%
10026,1/28/2005,249,-1.68%,0.5333,0.0052,5.14%,5.36%,7.95%,-1.85%
10028,1/7/2005,246,2.13%,0.4306,0.0032,11.76%,11.82%,1.08%,3.23%
10028,1/14/2005,247,2.05%,0.4307,0.0033,11.73%,11.80%,1.08%,2.01%
10028,1/21/2005,248,-2.65%,0.4322,0.0032,11.71%,11.77%,1.09%,-2.11%
10028,1/28/2005,249,-0.38%,0.4321,0.0032,11.69%,11.75%,1.09%,-0.53%
10032,1/7/2005,246,-16.45%,2.2896,0.0018,8.18%,10.47%,38.86%,-10.48%
10032,1/14/2005,247,-1.38%,2.2896,0.0017,8.17%,10.44%,38.86%,-1.42%
10032,1/21/2005,248,0.93%,2.2872,0.0019,8.15%,10.42%,38.81%,3.96%
10032,1/28/2005,249,4.53%,2.2877,0.002,8.14%,10.41%,38.80%,3.93%
10042,1/7/2005,246,-11.72%,-0.2637,0.0036,10.57%,10.60%,0.50%,-12.50%
10042,1/14/2005,247,-8.85%,-0.2639,0.0032,10.57%,10.59%,0.50%,-8.89%
10042,1/21/2005,248,0.97%,-0.2641,0.0032,10.55%,10.57%,0.50%,0.59%
10042,1/28/2005,249,2.88%,-0.2637,0.0033,10.53%,10.55%,0.50%,2.91%
10044,1/7/2005,246,7.03%,0.4324,0.0105,7.58%,7.68%,2.58%,8.16%
10044,1/14/2005,247,8.35%,0.4326,0.0108,7.58%,7.67%,2.57%,8.31%
10044,1/21/2005,248,-0.24%,0.4331,0.0108,7.56%,7.66%,2.58%,0.31%
10044,1/28/2005,249,-3.13%,0.4325,0.0106,7.55%,7.65%,2.57%,-3.28%
10051,1/7/2005,246,-3.83%,0.5066,0.0076,11.05%,11.14%,1.68%,-2.54%
10051,1/14/2005,247,-4.11%,0.5065,0.0074,11.03%,11.13%,1.68%,-4.15%
10051,1/21/2005,248,-2.01%,0.5078,0.0073,11.01%,11.10%,1.69%,-1.36%
10051,1/28/2005,249,-2.60%,0.5073,0.0072,10.99%,11.08%,1.68%,-2.76%
10056,1/7/2005,246,-0.19%,0.114,0.0047,3.69%,3.71%,0.77%,0.07%
10056,1/14/2005,247,-1.59%,0.114,0.0047,3.69%,3.70%,0.77%,-1.63%
10056,1/21/2005,248,-2.69%,0.116,0.0045,3.68%,3.70%,0.79%,-2.57%
10056,1/28/2005,249,0.45%,0.116,0.0045,3.68%,3.69%,0.79%,0.38%
10065,1/7/2005,246,-1.68%,0.7728,-0.0004,1.42%,2.62%,70.70%,0.32%
10065,1/14/2005,247,-0.47%,0.7728,-0.0004,1.41%,2.61%,70.69%,-0.51%
10065,1/21/2005,248,-0.86%,0.7726,-0.0004,1.41%,2.61%,70.70%,0.14%
10065,1/28/2005,249,0.16%,0.7726,-0.0004,1.41%,2.60%,70.70%,-0.07%
